type, time
local, 7:45, weekend, nb
local, 8:45, weekend, nb
local, 9:45, weekend, nb
bb, 10:22, weekend, nb
local, 10:45, weekend, nb
local, 11:45, weekend, nb
local, 12:45, weekend, nb
local, 13:45, weekend, nb
local, 14:45, weekend, nb
local, 15:45, weekend, nb
local, 16:45, weekend, nb
bb, 17:22, weekend, nb
local, 17:45, weekend, nb
local, 18:45, weekend, nb
local, 19:45, weekend, nb
local, 20:45, weekend, nb
